tp_prob	median_p_hwe	median_p_hwe_1_percent	median_p_hwe_5_percent	median_p_hwe_euro	median_p_hwe_1_percent_euro	median_p_hwe_5_percent_euro
0.0	2.478369122171414	18.60178099505187	22.435454453239636	0.8590730051762366	8.474431457457632	9.43101715486499
0.01	2.478369122171414	18.60178099505187	22.435454453239636	0.8590730051762366	8.474431457457632	9.43101715486499
0.02	2.482446282045652	18.616315697260166	22.427811104091774	0.8600350409464297	8.473071494735557	9.420860400967817
0.03	2.4770120677620047	18.57183404253158	22.115784761191467	0.847811019424745	8.315893607186325	9.132852641396614
0.04	2.4547671676642455	18.428843478018287	21.74746029389599	0.824942070771009	8.073516874198917	8.76264079636021
0.05	2.453835858565706	18.412060911839337	21.608954736692493	0.8195407390135545	8.002357977791293	8.629587808012964
0.06	2.437969168979149	18.304983714153984	21.404244092054537	0.8064378185751367	7.862640494543352	8.432876885711618
0.07	2.421833690062767	18.196688268953405	21.19059539976192	0.7927511463902254	7.719848724908183	8.225678441120401
0.08	2.3927389281328955	18.026434053490668	20.923703825638448	0.7709124235073502	7.5123554761687	7.96441818937581
0.09	2.391484427154856	17.99882543043331	20.874813407410116	0.7680213195966622	7.474090535644538	7.914790776839784
0.1	2.3581956449194355	17.771858054265245	20.59301385708114	0.7452963052319966	7.254379438532441	7.673902129450183
0.11	2.3338861971077622	17.61562062709587	20.38861324890667	0.7281400013182946	7.086708208552102	7.482982202571613
0.12	2.3265147741745924	17.5649546904257	20.320407356792643	0.7220343223227411	7.024000489585901	7.411102242459301
0.13	2.32520329622996	17.512179376213997	20.240754124695613	0.7183772982639243	6.964654139575334	7.335933596004576
0.14	2.321378478925575	17.4847067546466	20.181477368740808	0.7143215762462135	6.92094075808111	7.272408821171164
0.15	2.313787626692277	17.450263473941124	20.09215928090975	0.7074349238405004	6.854713635318524	7.17210625541517
0.16	2.2985380859333793	17.36633071058532	19.98188504215953	0.6987149585631917	6.771641855865177	7.076899982233168
0.17	2.286153437746862	17.28862083731438	19.886771311032383	0.6910955417878788	6.6958277921685845	6.9911652254032735
0.18	2.242241168502899	17.018300617422614	19.51952996139478	0.6633440299326568	6.421352466991799	6.6569304305888215
0.19	2.2313993126502054	16.958934180595932	19.435408954808615	0.6562617968738754	6.3526450391044085	6.570437235055268
0.2	2.2191830879922976	16.8936919471097	19.330186770247877	0.6483528540543588	6.275290775611294	6.468275409528795
0.21	2.2123543423849172	16.849173990796345	19.256764231872097	0.6432137592902963	6.221992054679949	6.3973942812131215
0.22	2.207109673863629	16.818165444077362	19.22615873110856	0.639912658208223	6.190550036735854	6.368020999261804
0.23	2.2008076910278698	16.775579793396712	19.182745841990084	0.6355299242061887	6.146755494175238	6.326204090980587
0.24	2.1911954285653814	16.709700221790214	19.108879560894394	0.6292800492732744	6.082909668778542	6.261540614347551
0.25	2.1781604305273943	16.610614284273808	18.988036597753695	0.6211119913184513	5.99532726741174	6.162765105332152
0.26	2.174552587181395	16.58231294647362	18.953860826879556	0.6188043859941652	5.9699386141448505	6.134575252430326
0.27	2.171673609603509	16.560779227540735	18.931031644608716	0.6170385754230026	5.949722707509208	6.112059021164269
0.28	2.1735252343722493	16.555117823982098	18.92451026852555	0.6172486485362471	5.943841658197215	6.1057920064030755
0.29	2.1763994371972415	16.54605060874773	18.915395247581625	0.6175051748849325	5.934224934400317	6.0959610044743
0.3	2.1776470072860374	16.536541995862553	18.904899803674194	0.6172887974620513	5.924125341703151	6.084934974586068
0.31	2.178688795731134	16.530454858285076	18.894995223584875	0.6170022163103392	5.915228877665725	6.073864253039423
0.32	2.177501195811022	16.522283905730056	18.882548479876018	0.6159744649194668	5.904549497924436	6.0604124079944794
0.33	2.1766893283956312	16.51413403917435	18.87511035715039	0.6151955655271337	5.895027016248011	6.052254399758197
0.34	2.176172288394867	16.507657400078163	18.86843540653996	0.6146765564701036	5.888379022988086	6.045656812677542
0.35000000000000003	2.1741567863757862	16.494226727585833	18.85308734901171	0.613278225638378	5.873914339678042	6.030155715716675
0.36	2.169673501002785	16.46721588398413	18.822498198526187	0.6104995787747031	5.846603563223467	6.001866568533062
0.37	2.1649463323579665	16.43417295407266	18.77923336925558	0.6068264127993696	5.808183344747715	5.959631674656647
0.38	2.1638842867556454	16.40872250788143	18.748360278015287	0.6049932042130598	5.782307282661576	5.931420550218059
0.39	2.1631594821390046	16.384138143974614	18.71912538375774	0.6033278142962579	5.7572949995455005	5.9045639846802995
0.4	2.164262952818288	16.372781069748765	18.70606989146848	0.6028939734374317	5.744659147557962	5.892316514208305
0.41000000000000003	2.1627396159756063	16.35322052213478	18.686049784356715	0.6013222225014989	5.724836189145878	5.873556199410137
0.42	2.158528875141139	16.328938127297594	18.656988361457643	0.5984796387008319	5.697191406373257	5.844057074549096
0.43	2.1513770687862794	16.293495614298706	18.61197481149682	0.5938122809103826	5.65297926949073	5.796065844328431
0.44	2.14300673054359	16.242309846041834	18.541249966997842	0.5879913732662233	5.595499887585669	5.727506460243029
0.45	2.1389534146855222	16.21568795885927	18.513572234788683	0.5854206524181449	5.569656837114835	5.702047918618659
0.46	2.1355456801792996	16.195895347169955	18.48818474554302	0.5829895975294255	5.5447266204946075	5.674561735566317
0.47000000000000003	2.1321514827686223	16.166613116612282	18.453732414606957	0.5802113122462934	5.512631459821761	5.641643116617362
0.48	2.1250802555742103	16.118686597640462	18.39868995407104	0.5755542662862991	5.465858355629527	5.591080247655362
0.49	2.1221350903988387	16.093648453862507	18.374745269818984	0.5733436051860197	5.441553561593548	5.569574037705627
