tp_prob	median_p_hwe	median_p_hwe_1_percent	median_p_hwe_5_percent	median_p_hwe_euro	median_p_hwe_1_percent_euro	median_p_hwe_5_percent_euro
0.0	3.108965601900448	22.342184047206892	25.470371708374422	1.192696277196559	11.595860261549763	11.904519418856607
0.01	3.108965601900448	22.342184047206892	25.470371708374422	1.192696277196559	11.595860261549763	11.904519418856607
0.02	3.1574836918401696	22.411912594169625	25.375475254175388	1.2082799447296337	11.56050802010244	11.81568412239413
0.03	3.2126274566985717	22.405124928528313	25.07621588734316	1.2202826700550968	11.406022922112683	11.533960536410659
0.04	3.230551621229944	22.381070346899797	24.944711819092138	1.2230347780345443	11.336722731018794	11.412488837861973
0.05	3.2303881121463527	22.342555839672467	24.792378527421207	1.2179704365444248	11.257356788053427	11.26435066515322
0.06	3.223624858574773	22.28931069574284	24.683204334237402	1.2113853410231863	11.183417916325356	11.158434679533615
0.07	3.2242904468737303	22.218146004728812	24.557814226479298	1.2055184888911494	11.082995595539751	11.03164638235336
0.08	3.216475136396661	22.16563258699757	24.44549574224391	1.1982392362857623	11.009653963505974	10.91682301438399
0.09	3.212595840892722	22.130835331608647	24.37969765505689	1.1939427644114617	10.962725392429308	10.851825749743318
0.1	3.192594580841721	21.988856867007637	24.204639008602733	1.1767813063621562	10.795559830749529	10.674915070616048
0.11	3.16028265685844	21.765607019301626	23.926303329041502	1.149415085776704	10.525735058574517	10.382935024457037
0.12	3.1451898418556827	21.638266585935472	23.78481635229205	1.1343070331215304	10.36002081554545	10.216661216865358
0.13	3.14125202708763	21.592757820707366	23.729574113008535	1.129582374665371	10.302780156937033	10.152540441395926
0.14	3.137235045528409	21.55674291096144	23.67150327611424	1.1260411254462044	10.261389328374975	10.098463277327363
0.15	3.131550993809415	21.519573523691857	23.609240772794767	1.1210596544169849	10.212315597665892	10.033136665620756
0.16	3.1233818379687732	21.46891411939157	23.522340483008268	1.1143376835379712	10.148204571490263	9.94697249073063
0.17	3.1160340258256323	21.41629801603665	23.45103343336574	1.1082821823974407	10.086176964932115	9.873174565060793
0.18	3.106455136980722	21.361105564721157	23.372100307641254	1.1004670602942388	10.010822836546275	9.787543358498265
0.19	3.086200369564412	21.24942907891398	23.246370513220974	1.086797779083784	9.884246065863579	9.656419529837251
0.2	3.0848574545526892	21.223922011272673	23.214203797307057	1.084379963502883	9.853287491719012	9.620784462838925
0.21	3.080633980564771	21.18793612546163	23.157144388283708	1.0802250394949522	9.803042891643312	9.559355168191129
0.22	3.065994906901022	21.098736228938307	23.079203568471236	1.0699642078324012	9.70601908891287	9.481551276598864
0.23	3.0368780264774533	20.924330001340742	22.911373154782144	1.047257056064642	9.489356358080913	9.289275890979159
0.24	3.0299333991948765	20.851806653380805	22.820494387561233	1.0399515223201186	9.404261922887521	9.195647850076243
0.25	3.011749881757995	20.72835369533628	22.674832767164858	1.0267885359198048	9.274124344760288	9.053565590651095
0.26	2.9967908753010732	20.647229948851074	22.579690545871852	1.0176282609854224	9.195463035784506	8.970110737994128
0.27	2.9848276135563103	20.58700469833175	22.503919056184348	1.009374403953227	9.119529791572969	8.884794371089487
0.28	2.984825949495688	20.56919808755765	22.485722666022532	1.0079008372232472	9.095863521358078	8.862350372768587
0.29	2.98340639932187	20.55183074353775	22.465906206891788	1.0067208506365775	9.07972659527217	8.844131310635879
0.3	2.9803636018267152	20.532643863292783	22.444418344364454	1.0043316083032103	9.055905942421335	8.82119018240742
0.31	2.9766952653867347	20.515055303077464	22.401013850540036	1.0008684206832632	9.021587980445355	8.774726347801018
0.32	2.9659036376640673	20.455069298550548	22.348145904547618	0.9929992031382905	8.950210715541447	8.715123121154791
0.33	2.9618099875492283	20.42278956395453	22.308366503500622	0.989362912413372	8.912151209767366	8.673006360192241
0.34	2.956864608920263	20.358265021825915	22.235230250777445	0.9837228679340202	8.841038522013553	8.599658521566322
0.35	2.955361203580204	20.33251667888806	22.206448925757524	0.9816482892196178	8.809830185117102	8.574389230668695
0.36	2.954912813591893	20.30008039560706	22.180553602339	0.9793744252591663	8.77193636682304	8.546248594367007
0.37	2.951434122024503	20.27945096328056	22.166668113890747	0.9772078941502733	8.748344247308818	8.529808551109715
0.38	2.945969184365042	20.247893475113337	22.13755845130752	0.9734145029358077	8.711457706964659	8.49840613986707
0.39	2.936806444590796	20.199452650670782	22.08924691716663	0.9675197606129079	8.657971961195452	8.446349360834004
0.4	2.923902198515773	20.131603126407363	22.02241084694747	0.9590798813329132	8.584616076267736	8.379077887248187
0.41	2.9201516986575595	20.09499660998847	21.98834936559663	0.9556464434587044	8.542677740531346	8.341868989866018
0.42	2.904466710626815	20.02353473809485	21.926069970987978	0.9458623235432111	8.46274906838213	8.27407716261546
0.43	2.8972564790583606	19.980963040556375	21.89257096529576	0.9411299678325604	8.41498479506916	8.2357895686767
0.44	2.8913264990504914	19.933007149480073	21.846398169832675	0.9361909241688736	8.362177529428621	8.186728395061728
0.45	2.870264642350645	19.82889410516748	21.748728352179377	0.9220610854345541	8.241978559053392	8.081861988551246
0.46	2.853738859654124	19.737260333611374	21.667781987308178	0.911000075821651	8.139164467097478	7.994957436835659
0.47	2.835913871134874	19.648701059655505	21.58967508478842	0.8987781730663555	8.031841770193425	7.908842614865351
0.48	2.818989270086308	19.550519994651815	21.493819105225104	0.8869177499638704	7.923329428837057	7.808090488978298
0.49	2.7839906036869593	19.364711648995453	21.347054974979223	0.8651645721907651	7.7313572327782785	7.655066236067208
0.5	2.7814324634590823	19.299570036177744	21.28232233891288	0.8609118934149127	7.664349794422881	7.58854895204845
