Gene	SD_for_gene	at_risk_isolated	at_risk_familial
ATM	1.0365221485635723	0.07042253521126761	0.36787564766839376
BARD1	0.5449038324428127	0.11395646606914213	0.5595854922279793
BRCA1	3.515057419087214	0.0	0.0051813471502590676
BRCA2	2.8636095652859836	0.0	0.015544041450777202
CDH1	1.5860015820418445	0.03585147247119078	0.19689119170984457
CHEK2	1.5651052308392992	0.03713188220230474	0.19689119170984457
NF1	1.1380970346794008	0.06017925736235595	0.30569948186528495
PALB2	2.32435582751721	0.010243277848911651	0.04145077720207254
RAD51C	0.31557917968252247	0.12548015364916773	0.6424870466321243
RAD51D	0.9387055366908112	0.0793854033290653	0.40414507772020725
