tp_prob	sensitivity
0.0	77.29
0.01	77.00973070043527
0.02	76.9231491912263
0.03	76.86888829989643
0.04	76.84435294033858
0.05	76.82642325450783
0.06	76.81352646294538
0.07	76.79701227862759
0.08	76.7833290973357
0.09	76.77192644625913
0.1	76.75234534199662
0.11	76.71687916519984
0.12	76.68770410623843
0.13	76.6715044778124
0.14	76.65396798684637
0.15	76.63721788560976
0.16	76.61512033421309
0.17	76.59664017557176
0.18	76.57721634925512
0.19	76.56007305315381
0.2	76.54410934164662
0.21	76.51564203344167
0.22	76.49629684609796
0.23	76.46885184454126
0.24	76.44675429314461
0.25	76.41923065261497
0.26	76.38871873111353
0.27	76.34436635037433
0.28	76.32053874157295
0.29	76.30064308141866
0.3	76.28090469921025
0.31	76.24504532754878
0.32	76.22963208885218
0.33	76.21791488188384
0.34	76.19809786070249
0.35000000000000003	76.17544983649525
0.36	76.15877837423157
0.37	76.1449379149938
0.38	76.12464905997481
0.39	76.09924867171459
0.4	76.06189515956721
0.41000000000000003	76.02076697671863
0.42	75.97649323495239
0.43	75.92065956416367
0.44	75.8571979129996
0.45	75.81300281020629
0.46	75.76817859562944
0.47000000000000003	75.72178160159375
0.48	75.68623678582402
0.49	75.65171427670256
0.5	75.61742768449992
0.51	75.58667984607965
0.52	75.53926054539572
0.53	75.46549718877627
0.54	75.36279469011423
0.55	75.28218974284884
0.56	75.17854357651149
0.5700000000000001	75.09196206730252
0.58	74.85706745512522
0.59	74.7619142978656
0.6	74.6316881586739
0.61	74.526076018013
0.62	74.35597991953979
0.63	73.62959172647598
0.64	72.43349294803052
0.65	72.37514283010768
0.66	72.31301804148362
0.67	72.24680402626659
0.68	72.18184823461662
0.6900000000000001	72.11421871788663
0.7000000000000001	72.04839789753431
0.71	71.94970598649229
0.72	71.81601973249116
0.73	71.6180067986236
0.74	71.51947216552746
0.75	71.3103711364751
0.76	70.89444960858569
0.77	70.71704008562888
0.78	70.30300589309007
0.79	70.2333317630636
0.8	70.0688976706422
0.81	69.9546352429577
0.8200000000000001	69.75921739519721
0.8300000000000001	69.25325424328939
0.84	69.07608063725141
0.85	67.55457378877261
0.86	67.4119226918561
0.87	67.17757855248941
0.88	67.074011025125
0.89	66.527706080098
0.9	66.00923933149242
0.91	65.76443620872446
0.92	65.66888985660012
0.93	65.39624853741076
0.9400000000000001	65.03254328755472
0.9500000000000001	61.66286329699669
0.96	59.98164069447299
0.97	58.69636532071149
0.98	46.536420934714094
0.99	0.0
1.0	0.0
