	patient_cancer	family_cancer	n_intersection_no_prs	odds_ratio_no_prs	ci_low	ci_high	p_value_no_prs	n_patients_tested	odds_ratio_with_prs	p_value_with_prs	n_tested	n_intersection_with_prs	covariates
0	basal_cell_carcinoma	basal_cell_carcinoma	250	2.112064873954135	1.6665684004572512	2.6766486335436324	6.181119236960921e-10	1537	2.1703658045942547	3.2682958572437784e-10	1537	250	family_has,sex_binary,basal_cell_carcinoma_prs
1	breast	breast	195	2.144720687538366	1.653558415135206	2.7817746173659867	8.921857750607733e-09	1022	1.95984484731366	7.262178712028691e-07	1022	195	family_has,breast_prs
2	prostate	prostate	93	2.5979490806223473	1.783984256734667	3.783295396261074	6.41343722524935e-07	515	2.4850260900375356	6.626929797024654e-06	515	93	family_has,prostate_prs
3	lung	lung	42	2.978034682080926	1.922752999975128	4.612496024081911	1.014995058262254e-06	1537	2.9163416034929512	1.792260704166526e-06	1537	42	family_has,sex_binary,lung_prs
4	colorectal	colorectal	33	2.549814228705106	1.594267230012438	4.078082067117626	9.360181992512358e-05	1537	2.511807591142915	0.0001268775712798	1537	33	family_has,sex_binary,colorectal_prs
5	melanoma	melanoma	83	2.1212089077412455	1.4384737128273042	3.127987108945521	0.0001478360363987	1537	2.0534491215195145	0.0003387569093903	1537	83	family_has,sex_binary,melanoma_prs
6	squamous_cell_carcinoma	squamous_cell_carcinoma	101	1.829484811165836	1.3025103706358858	2.569664510734362	0.0004927411328079	1537	1.8105616065414725	0.0007247668870854	1537	101	family_has,sex_binary,squamous_cell_carcinoma_prs
7	kidney	kidney	7	3.3963498622589494	1.4610523792109358	7.895125836006064	0.0044982156297136	1537	3.461876812169217	0.0042439581121771	1537	7	family_has,sex_binary,kidney_prs
8	hematologic	hematologic	17	2.193438003220612	1.2447304417596428	3.8652306656620383	0.0065815611625313	1537	2.0833165451482696	0.01165443852482	1537	17	family_has,sex_binary,hematologic_prs
9	non-hodgkin	non-hodgkin	14	2.364679796530587	1.2647427252499353	4.421223722804903	0.0070264539024687	1537	2.3481423831052473	0.0078017030918192	1537	14	family_has,sex_binary,non-hodgkin_prs
10	thyroid	thyroid	11	2.3160581683168298	1.1840839568257076	4.53019011709884	0.0141437146854471	1537	2.1891244538862336	0.0238095667534184	1537	11	family_has,sex_binary,thyroid_prs
11	ovary	ovary	6	2.134117647058825	0.8683032944708468	5.245238801337764	0.0984966454233884	1022	2.1270266299853406	0.1000973532649075	1022	6	family_has,ovary_prs
12	cervix	cervix	6	2.113003095975229	0.8628961859820022	5.1741821972707465	0.1015793435438832	1022	2.089285935795121	0.1076840138334888	1022	6	family_has,cervix_prs
13	bladder	bladder	6	1.485714285714285	0.6181379918358636	3.5709614486236485	0.3762488781589976	1537	1.3910359653086697	0.4636748465873636	1537	6	family_has,sex_binary,bladder_prs
14	brain	brain	3	0.7520045819014889	0.2259824341396619	2.5024550839705326	0.642198114249566	1537	0.7255861014879598	0.6018171388424168	1537	3	family_has,sex_binary,brain_prs
