TP_PROB	MIN	Q1	Q2	Q3	MAX
0.0	40	67	74	84	17001
0.01	14	30	36	44	16718
0.02	8	22	27	33	15525
0.03	6	17	21	26	8598
0.04	3	11	15	18	8437
0.05	3	10	13	16	8413
0.06	3	10	13	16	8412
0.07	3	10	13	16	8170
0.08	3	10	12	15	3251
0.09	3	9	12	15	3067
0.1	3	9	12	14	3030
0.11	2	9	11	14	3025
0.12	2	7	10	12	2992
0.13	1	7	9	12	1871
0.14	1	7	9	12	325
0.15	1	7	9	12	51
0.16	1	7	9	11	49
0.17	1	7	9	11	47
0.18	1	7	9	11	41
0.19	1	7	9	11	38
0.2	1	7	9	11	33
0.21	1	7	9	11	31
0.22	1	6	8	11	28
0.23	1	6	8	11	27
0.24	1	6	8	10	24
0.25	1	6	8	10	22
0.26	1	6	7	10	21
0.27	1	5	7	10	21
0.28	1	5	7	9	19
0.29	1	5	7	9	19
0.3	1	5	7	9	19
0.31	1	5	7	9	19
0.32	0	5	7	9	19
0.33	0	5	7	9	19
0.34	0	5	7	9	19
0.35	0	5	7	9	18
0.36	0	5	7	9	18
0.37	0	5	7	9	18
0.38	0	5	7	9	17
0.39	0	5	7	9	17
0.4	0	5	7	9	17
0.41	0	5	7	9	17
0.42	0	5	7	9	17
0.43	0	5	6	9	17
0.44	0	5	6	8	17
0.45	0	5	6	8	17
0.46	0	5	6	8	17
0.47	0	5	6	8	17
0.48	0	4	6	8	17
0.49	0	4	6	8	17
0.5	0	4	6	8	17
0.51	0	4	6	8	17
0.52	0	4	6	8	17
0.53	0	4	6	8	16
0.54	0	4	6	8	16
0.55	0	4	6	8	16
0.56	0	4	6	8	16
0.57	0	4	6	7	16
0.58	0	4	6	7	16
0.59	0	4	5	7	16
0.6	0	4	5	7	16
0.61	0	4	5	7	15
0.62	0	3	5	7	14
0.63	0	3	5	6	14
0.64	0	3	5	6	14
0.65	0	3	4	6	14
0.66	0	3	4	6	14
0.67	0	3	4	6	14
0.68	0	3	4	6	14
0.69	0	3	4	6	14
0.7	0	3	4	6	14
0.71	0	3	4	6	14
0.72	0	3	4	6	14
0.73	0	3	4	6	14
0.74	0	3	4	6	14
0.75	0	3	4	6	14
0.76	0	3	4	6	14
0.77	0	3	4	6	14
0.78	0	3	4	6	14
0.79	0	3	4	6	14
0.8	0	3	4	6	14
0.81	0	3	4	6	14
0.82	0	2	4	5	14
0.83	0	2	4	5	14
0.84	0	2	4	5	13
0.85	0	2	4	5	13
0.86	0	2	4	5	13
0.87	0	2	4	5	13
0.88	0	2	4	5	13
0.89	0	2	3	5	13
0.9	0	2	3	5	13
0.91	0	2	3	5	13
0.92	0	2	3	4	12
0.93	0	2	3	4	12
0.94	0	1	2	4	12
0.95	0	1	2	3	12
0.96	0	1	1	3	11
0.97	0	0	1	2	10
0.98	0	0	0	0	0
0.99	0	0	0	0	0
1.0	0	0	0	0	0
